Date,Price,Open,High,Low,Vol.,Change %
2022-05-15,103.9,104.46,104.64,103.19,-,-0.63%
2022-05-08,104.56,103.66,105.0,103.37,-,0.87%
2022-05-01,103.66,103.21,104.06,102.35,-,0.68%
2022-04-24,102.96,103.67,103.67,102.82,-,1.72%
2022-04-17,101.22,100.5,101.33,99.82,-,0.90%
2022-04-10,100.32,99.84,100.76,99.57,-,0.53%
2022-04-03,99.8,98.57,100.19,98.52,-,1.18%
2022-03-27,98.63,98.81,99.37,97.68,-,-0.16%
2022-03-20,98.79,98.24,98.96,98.16,-,0.57%
2022-03-13,98.23,99.13,99.29,97.73,-,-0.90%
2022-03-06,99.12,98.51,99.42,97.71,-,0.48%
2022-02-27,98.65,96.54,98.92,96.54,-,2.10%
2022-02-20,96.61,96.11,97.74,95.69,-,0.60%
2022-02-13,96.04,96.03,96.43,95.68,-,-0.04%
2022-02-06,96.08,95.48,96.11,95.17,-,0.63%
2022-01-30,95.49,97.22,97.3,95.14,-,-1.84%
2022-01-23,97.27,95.64,97.44,95.63,-,1.70%
2022-01-16,95.64,95.17,95.86,95.04,-,0.50%
2022-01-09,95.17,95.74,96.23,94.63,-,-0.58%
2022-01-02,95.72,95.67,96.46,95.63,-,-0.26%
2021-12-26,95.97,96.15,96.39,95.57,-,-0.05%
2021-12-19,96.02,96.67,96.69,95.99,-,-0.57%
2021-12-12,96.57,96.05,96.91,95.85,-,0.49%
2021-12-05,96.1,96.15,96.59,95.85,-,-0.02%
2021-11-28,96.12,96.07,96.64,95.52,-,0.03%
2021-11-21,96.09,96.07,96.94,95.75,-,0.06%
2021-11-14,96.03,95.12,96.24,94.97,-,0.95%
2021-11-07,95.13,94.25,95.26,93.88,-,0.86%
2021-10-31,94.32,94.13,94.62,93.82,-,0.21%
2021-10-24,94.12,93.66,94.3,93.28,-,0.51%
2021-10-17,93.64,93.95,94.17,93.5,-,-0.31%
2021-10-10,93.94,94.1,94.56,93.76,-,-0.14%
2021-10-03,94.07,94.07,94.45,93.68,-,0.03%
2021-09-26,94.04,93.28,94.5,93.21,-,0.76%
2021-09-19,93.33,93.25,93.52,92.98,-,0.14%
2021-09-12,93.19,92.61,93.25,92.32,-,0.66%
2021-09-05,92.58,92.12,92.86,92.04,-,0.59%
2021-08-29,92.04,92.68,92.79,91.95,-,-0.70%
2021-08-22,92.69,93.46,93.5,92.63,-,-0.87%
2021-08-15,93.5,92.52,93.73,92.48,-,1.06%
2021-08-08,92.52,92.78,93.19,92.47,-,-0.30%
2021-08-01,92.8,92.09,92.84,91.82,-,0.68%
2021-07-25,92.17,92.91,92.96,91.78,-,-0.79%
2021-07-18,92.91,92.71,93.19,92.51,-,0.24%
2021-07-11,92.69,92.1,92.83,92.08,-,0.60%
2021-07-04,92.13,92.24,92.85,92.0,-,-0.10%
2021-06-27,92.23,91.81,92.74,91.7,-,0.41%
2021-06-20,91.85,92.32,92.37,91.51,-,-0.41%
2021-06-13,92.22,90.51,92.4,90.35,-,1.84%
2021-06-06,90.56,90.13,90.61,89.84,-,0.46%
2021-05-30,90.14,90.06,90.63,89.66,-,0.12%
2021-05-23,90.03,90.03,90.44,89.53,-,0.01%
2021-05-16,90.02,90.3,90.43,89.65,-,-0.34%
2021-05-09,90.32,90.23,90.91,89.98,-,0.10%
2021-05-02,90.23,91.3,91.44,90.19,-,-1.15%
2021-04-25,91.28,90.83,91.32,90.42,-,0.46%
2021-04-18,90.86,91.54,91.75,90.81,-,-0.77%
2021-04-11,91.56,92.18,92.33,91.49,-,-0.65%
2021-04-04,92.16,93.01,93.11,92.0,-,-0.92%
2021-03-28,93.02,92.72,93.44,92.72,-,0.27%
2021-03-21,92.77,92.07,92.92,91.71,-,0.92%
2021-03-14,91.92,91.66,92.17,91.3,-,0.26%
2021-03-07,91.68,91.98,92.5,91.36,-,-0.33%
2021-02-28,91.98,90.93,92.19,90.63,-,1.21%
2021-02-21,90.88,90.34,90.97,89.68,-,0.58%
2021-02-14,90.36,90.45,91.06,90.12,-,-0.13%
2021-02-07,90.48,91.0,91.23,90.25,-,-0.62%
2021-01-31,91.04,90.53,91.6,90.5,-,0.50%
2021-01-24,90.58,90.23,90.88,90.08,-,0.38%
2021-01-17,90.24,90.78,90.95,90.05,-,-0.58%
2021-01-10,90.77,90.07,90.8,89.92,-,0.75%
2021-01-03,90.1,89.93,90.25,89.21,-,0.18%
2020-12-27,89.94,90.22,90.38,89.52,-,-0.42%
2020-12-20,90.32,89.92,91.02,89.92,-,0.34%
2020-12-13,90.02,90.98,90.98,89.73,-,-1.06%
2020-12-06,90.98,90.81,91.24,90.62,-,0.30%
2020-11-29,90.7,91.78,92.05,90.48,-,-1.19%
2020-11-22,91.79,92.4,92.8,91.76,-,-0.65%
2020-11-15,92.39,92.72,92.84,92.21,-,-0.39%
2020-11-08,92.75,92.24,93.21,92.13,-,0.57%
2020-11-01,92.23,93.89,94.3,92.18,-,-1.92%
